region,fy_2026_reclass_budget,fy_2025_unfunded,fy_2026_expenses,total_chargeable,total_deficit
Cordillera Administrative Region​,"137,836,658.00​","1,189,087,476.42","2,757,648.00","1,191,845,124.42","1,054,008,466.42"
National Capital Region ​,"499,611,962.00​",,,,
Negros Island Region​,"303,340,364.00​",,,,
Region I​,"355,304,277.00​","806,300,995.47","1,256,689,087.08","2,062,990,082.55","1,707,685,805.55"
Region II​,"261,171,874.00​","138,110,901.73","347,773,547.70","485,884,449.43","224,712,575.43"
Region III​,"635,165,477.00​",,,,
Region IV-A​,"725,931,825.00​",,,,
Region IV-B​,"243,271,054.00​","965,000,602.45","98,336,355.58","1,063,336,958.03","820,065,904.03"
Region IX​,"303,186,364.00​","217,563,479.19","254,403,216.05","471,966,695.25","168,780,331.25"
Region V​,"477,703,549.00​","567,652,697.00","730,360,990.00","1,298,013,687.00","820,310,138.00"
Region VI​,"308,657,495.00​","94,695,075.69","2,415,964,877.85","2,510,659,953.54","2,202,002,458.54"
Region VII​,"392,518,233.00​","233,250,330.80","792,524,119.06","1,025,774,449.86","633,256,216.86"
Region VIII​,"394,325,256.00​",,,,
Region X ​,"303,670,924.00​","694,649,542.58","290,911,128.94","985,560,671.52","681,889,747.52"
Region XI ​,"317,180,863.00​","463,534,532.61","211,481,839.43","675,016,372.05","357,835,509.05"
Region XII ​,"275,174,564.00​","271,895,722.90","11,327,231.73","283,222,954.63","8,048,390.63"
Region XIII - CARAGA​,"214,382,261.00​",,,,
