region,dbm_approval_physical,dbm_approval_financial,career_physical,career_financial,total_physical,total_financial,fy_2027_tier_1,fy_2027_tier_2,fy_2027_total,remaining_or_deficit
Cordillera Administrative Region​,15,"3,546,332.18",856,"79,866,884.90",871,"83,413,217.08","79,866,885","131,046,226","210,913,111","127,499,893.92"
National Capital Region ​,31,"1,093,961.48",1120,"75,710,895.30",1151,"76,804,856.78","3,113,703","468,296,218","471,409,921","394,605,064.22"
Negros Island Region​,6965,"624,533,671.76",155,"14,540,391.64",7120,"639,074,063.40","14,540,392","281,109,172","295,649,564","-343,424,499.40"
Region I​,792,"74,569,178.66",5100,"510,491,563.70",5892,"585,060,742.36","510,491,564","343,901,757","854,393,321","269,332,578.64"
Region II​,10,"387,172.52",4927,"494,651,063.80",4937,"495,038,236.32","489,407,173","253,852,297","743,259,470","248,221,233.68"
Region III​,14902,"1,503,725,889.58",19721,"2,015,700,932.54",34623,"3,519,426,822.12","1,665,653,622","606,097,621","2,271,751,243","-1,247,675,579.12"
Region IV-A​,331,"15,599,536.24",15778,"1,420,711,492.62",16109,"1,436,311,028.86","1,069,230,768","698,963,223","1,768,193,991","331,882,962.14"
Region IV-B​,17,"458,758.04",26,"2,350,831.96",43,"2,809,590.00","2,350,832","238,952,625","241,303,457","238,493,867.00"
Region IX​,35,"1,235,117.80",3,"333,325.98",38,"1,568,443.78","333,326","322,618,890","322,952,216","321,383,772.22"
Region V​,479,"31,527,078.34",1806,"180,789,592.78",2285,"212,316,671.12","180,789,593","461,932,934","642,722,527","430,405,855.88"
Region VI​,581,"51,791,195.06",441,"41,697,967.28",1022,"93,489,162.34","41,697,967","302,167,455","343,865,422","250,376,259.66"
Region VII​,19,"670,492.52",3317,"295,415,906.68",3336,"296,086,399.20","295,415,907","380,020,202","675,436,109","379,349,709.80"
Region VIII​,1168,"89,609,866.20",12033,"1,034,848,005.46",13201,"1,124,457,871.66","807,189,512","383,565,610","1,190,755,122","66,297,250.34"
Region X ​,31,"1,093,961.48",4991,"481,613,810.68",5022,"482,707,772.16","481,683,381","292,251,518","773,934,899","291,227,126.84"
Region XI ​,504,"40,460,299.60",3610,"347,852,788.02",4114,"388,313,087.62","347,811,250","304,503,527","652,314,777","264,001,689.38"
Region XII ​,3,"105,867.24",0,0,3,"105,867.24","47,309","263,870,369","263,917,678","263,811,810.76"
Region XIII - CARAGA​,93,"6,911,969.16",1678,"158,809,816.06",1771,"165,721,785.22","158,809,816","208,369,525","367,179,341","201,457,555.78"
