region,filling_up,unreleased_appropriations,chargeable_against_unreleased_appropriations,balance_from_unreleased_appropriations
Cordillera Administrative Region​,14.5 % ,"263,295,690.00  ",,"263,295,690.00  "
National Capital Region ​,-3.9 % ,"3,492,708,933.00  ","2,223,216,295.27  ","1,269,492,637.73  "
Negros Island Region​,-1.2 % ,"1,690,085,165.00  ","523,216,295.27  ","1,166,868,869.73  "
Region I​,11.8 % ,"1,587,473,000.00  ",,"1,587,473,000.00  "
Region II​,10.5 % ,"763,571,845.00  ",,"763,571,845.00  "
Region III​,13.4 % ,"1,368,439,492.00  ",,"1,368,439,492.00  "
Region IV-A​,7.4 % ,"3,269,042,000.00  ","2,023,216,295.27  ","1,245,825,704.73  "
Region IV-B​,-0.1 % ,"1,296,308,964.00  ","423,216,295.27  ","873,092,668.73  "
Region IX​,0.1 % ,"881,749,786.00  ","223,216,295.27  ","658,533,490.73  "
Region V​,3.0 % ,"1,094,008,837.00  ","423,216,295.27  ","670,792,541.73  "
Region VI​,22.5 % ,"1,496,360,365.00  ",,"1,496,360,365.00  "
Region VII​,3.0 % ,"1,352,483,431.00  ","723,216,295.27  ","629,267,135.73  "
Region VIII​,-4.7 % ,"1,069,378,877.00  ","223,216,295.27  ","846,162,581.73  "
Region X ​,1.7 % ,"1,698,776,000.00  ","523,216,295.27  ","1,175,559,704.73  "
Region XI ​,3.8 % ,"1,737,526,000.00  ","623,216,295.27  ","1,114,309,704.73  "
Region XII ​,4.3 % ,"1,318,607,923.00  ","523,216,295.27  ","795,391,627.73  "
Region XIII - CARAGA​,6.2 % ,"492,640,679.00  ","223,216,295.27  ","269,424,383.73  "
